State,epsilon,true_mean,true_median,true_stdev,dp_mean_laplace,dp_median_laplace,dp_stdev_laplace,dp_mean_gaussian,dp_median_gaussian,dp_stdev_gaussian,abs_err_mean_lap,abs_err_median_lap,abs_err_stdev_lap,abs_err_mean_gauss,abs_err_median_gauss,abs_err_stdev_gauss
Rhode Island,0.05,72224.26940639269,61364.0,51873.56438356164,64259.546675702375,55416.64693519652,54829.03192964198,49435.127812325445,84259.22196722313,54823.22531083781,7964.722730690315,5947.353064803479,2955.4675460803337,22789.141594067245,22895.22196722313,2949.6609272761707
South Carolina,0.05,55413.45870560035,41190.0,42930.06580954456,55482.02907344828,44381.41872953879,39416.73673835534,57693.66375559667,38986.885405868794,43089.212745805395,68.57036784792581,3191.418729538789,3513.3290711892187,2280.2050499963225,2203.114594131206,159.14693626083317
South Dakota,0.05,58639.960876369325,48758.0,42845.255086071986,63852.657680965625,53066.413376461445,30842.16748677718,69139.02605442068,48433.7625810023,29022.74725966981,5212.6968045963,4308.413376461445,12003.087599294806,10499.065178051358,324.2374189976981,13822.507826402176
Tennessee,0.05,56584.582540203475,41515.0,42720.13849688218,56423.201417432145,40353.36515166475,44469.91037673718,57991.255841860955,44702.3828023278,41037.258525734636,161.3811227713304,1161.6348483352485,1749.7718798549977,1406.67330165748,3187.3828023277965,1682.879971147544
Texas,0.05,65528.01508105524,49835.0,46326.22121778435,64943.386537808525,49530.15557903993,46025.189263637105,65249.10313625619,50189.18425312685,46490.484110383215,584.6285432467121,304.84442096007115,301.0319541472418,278.91194479904516,354.1842531268485,164.26289259886835
Utah,0.05,72216.35826620637,62922.0,47094.02032988109,72147.16299475619,56911.86540886696,44822.78519065841,82016.68915213174,56616.86213351648,51057.98511166284,69.19527145018219,6010.134591133043,2271.2351392226774,9800.330885925374,6305.137866483521,3963.964781781753
Vermont,0.05,65696.36275695285,54891.0,49079.48972188633,65237.41197957235,69022.57250792078,44299.43004479795,109520.59058794059,35364.7337371621,46913.86513224712,458.9507773804944,14131.572507920777,4780.059677088386,43824.227830987744,19526.266262837897,2165.624589639214
Virginia,0.05,79932.47650579397,64103.0,50938.72367248186,79886.24456947962,63521.19149009534,51033.47850117265,77575.90798884463,66011.07514769152,53297.99570188654,46.23193631434697,581.8085099046584,94.75482869079133,2356.568516949337,1908.0751476915175,2359.2720294046812
Washington,0.05,75276.7911576498,64156.0,50702.7310936591,75585.09421452097,60868.995104772184,49591.60568541797,75635.87352330999,63106.356755890905,56849.95429287947,308.30305687116925,3287.0048952278157,1111.1254082411324,359.08236566018604,1049.6432441090947,6147.223199220367
West Virginia,0.05,52394.05379365716,39983.0,41937.77679646728,54309.36581266354,36500.21004110181,42573.82605138154,59516.51393856425,45541.92970609674,57716.6214121628,1915.3120190063783,3482.789958898189,636.0492549142582,7122.460144907083,5558.9297060967365,15778.844615695518
Wisconsin,0.05,63259.944065281896,52830.5,44564.37759643917,60741.54816469196,52177.51945331926,44240.03322708952,61002.13777402445,49230.847663112014,39032.3864476071,2518.395900589938,652.9805466807375,324.3443693496447,2257.806291257446,3599.652336887986,5531.991148832065
Wyoming,0.05,68398.78313253012,61092.0,46078.24096385542,56602.92102148806,67384.98618411744,38542.925578765586,125113.86113159968,85787.60146407381,70051.55244623081,11795.862111042064,6292.9861841174425,7535.315385089838,56715.07799906956,24695.601464073814,23973.311482375386
